点号,点名,纬度,经度,大地高,X,Y,H,班组,ID
140,12957,"30°55'12.059104""N","121°54'27.860199""E",0.01,-34888.157,42114.306,0,五组,439
141,12955,"30°54'00.524185""N","121°55'00.892366""E",0.01,-37087.708,43000.298,0,五组,440
142,12954,"30°53'02.496115""N","121°56'20.544270""E",0.011,-38866.018,45123.218,0,五组,441
143,12953,"30°53'59.385603""N","121°57'26.605193""E",0.011,-37106.377,46870.158,0,五组,442
144,12959,"30°53'59.657686""N","121°58'12.114617""E",0.011,-37092.589,48078.723,0,五组,443
145,10018,"31°03'06.422568""N","121°53'05.038137""E",0.007,-20287.473,39860.083,0,五组,444
146,10019,"31°02'26.381744""N","121°54'20.285166""E",0.008,-21512.906,41860.158,0,五组,445
147,10020,"31°01'54.447619""N","121°53'39.563240""E",0.008,-22500.638,40784.093,0,五组,446
1,10102,"31°24'02.052942""N","121°14'17.249317""E",-0.001,18329.998,-21781.518,0,六组,447
2,10103,"31°24'49.021559""N","121°13'05.739656""E",-0.001,19780.655,-23667.392,0,六组,448
3,10104,"31°24'14.362023""N","121°10'48.001355""E",-0.001,18721.948,-27308.371,0,六组,449
4,10105,"31°25'29.775724""N","121°11'47.810272""E",-0.001,21040.669,-25722.757,0,六组,450
5,10106,"31°26'16.964160""N","121°10'47.387335""E",-0.001,22498.057,-27314.811,0,六组,451
6,12700,"31°19'00.757329""N","121°12'36.538800""E",-0.001,9056.201,-24463.484,0,六组,452
7,10109,"31°21'31.964326""N","121°12'57.086637""E",-0.001,13711.974,-23909.668,0,六组,453
8,10110,"31°21'09.302819""N","121°14'21.097457""E",-0.001,13009.244,-21690.751,0,六组,454
9,10111,"31°21'22.489640""N","121°15'15.127979""E",-0.001,13412.56,-20261.894,0,六组,455
10,10112,"31°21'43.259319""N","121°15'18.991554""E",-0.001,14052.051,-20158.564,0,六组,456
11,10113,"31°20'34.058559""N","121°15'29.524343""E",-0.001,11920.215,-19884.192,0,六组,457
12,10114,"31°19'50.333079""N","121°14'38.357477""E",-0.001,10576.139,-21239.419,0,六组,458
13,10115,"31°19'26.681016""N","121°15'17.798645""E",-0.001,9845.648,-20198.092,0,六组,459
14,10116,"31°19'26.505499""N","121°14'59.230953""E",-0.001,9841.188,-20689.014,0,六组,460
15,10119,"31°20'04.421103""N","121°16'07.366553""E",-0.001,11005.589,-18885.503,0,六组,461
16,10121,"31°21'26.682842""N","121°19'03.501330""E",-0.001,13531.918,-14225.822,0,六组,462
17,10122,"31°19'34.525248""N","121°19'39.588164""E",-0.001,10076.366,-13276.351,0,六组,463
18,10123,"31°19'37.523355""N","121°19'00.033470""E",-0.001,10170.054,-14321.987,0,六组,464
19,10125,"31°18'06.865881""N","121°16'44.376166""E",-0.001,7383.341,-17913.207,0,六组,465
20,12701,"31°19'02.290856""N","121°11'49.776861""E",-0.001,9106.357,-25699.804,0,六组,466
21,10136,"31°14'24.013728""N","121°18'53.586684""E",0,514.635,-14505.517,0,六组,467
22,10142,"31°19'57.184227""N","121°11'18.069207""E",-0.001,10799.079,-26533.948,0,六组,468
23,10952,"31°18'00.874654""N","121°10'51.432214""E",-0.001,7218.665,-27247.355,0,六组,469
24,10953,"31°17'13.743641""N","121°10'59.163144""E",-0.001,5766.565,-27046.608,0,六组,470
25,10152,"31°17'13.357560""N","121°11'56.605231""E",-0.001,5750.91,-25527.33,0,六组,471
26,10158,"31°15'40.281686""N","121°16'22.810441""E",-0.001,2869.728,-18491.35,0,六组,472
